date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2019-01-02 00:00:00+00:00,2689877851.31483,23653412.58534336,73704609.85657361,530562678.8317979,465237876.8488459,72615363.14718933,1831181165.2598188,219646909.2341285,20250617.701323178,28425239.84936065,72101064.63623764,2304885.959356369,0.0,319038301.0478107
2019-01-03 00:00:00+00:00,3263469039.3230205,25723772.883541603,91136742.43241112,637546647.8228813,473994857.8800036,130083895.24062386,2970382678.100767,363028185.67314106,25749501.33589444,43321551.76950851,96596672.45929196,2848364.2752995696,0.0,301743583.58917266
2019-01-04 00:00:00+00:00,2261199754.98875,26100375.049378127,61969720.96354543,493301288.4368563,377231285.42856944,143883043.49660772,2147721864.232185,195430119.2803828,16772990.672760751,39412155.33175317,91321531.111707,16327388.277267624,0.0,485572851.61039424
2019-01-05 00:00:00+00:00,2950054796.074141,28989975.54590724,63799536.76758415,487862712.3332964,440635889.96699786,150530254.66113758,2802750465.265354,290723471.2460392,24550945.24033442,33701219.84912106,150367586.7970132,33301391.21749105,14303.976702233787,522516136.92783135
2019-01-06 00:00:00+00:00,2763831883.889694,23696013.64265025,77461563.92655613,493710851.7944223,709750531.8403705,87968028.4969085,2751810037.277045,460935686.6210101,33720095.6533029,43293703.89336234,213737819.08769804,15772341.046296945,86741.83520940196,578039000.3102984
2019-01-07 00:00:00+00:00,3435733235.508936,24099571.05603461,63871159.520431615,558490987.876907,1023016869.0482888,97781764.77359425,2604841786.5535765,164868233.35093126,44727778.65401812,81335647.59441182,153779539.5941366,9159047.167859497,27355.49786592,599242472.994681
2019-01-08 00:00:00+00:00,3360163853.3972144,21183786.86483306,97047101.63492644,604509982.9338614,835236065.3976334,118440968.1671872,2288173707.096168,166176965.07352045,29924667.236053698,78333814.79200187,149237016.3131008,6198024.643983662,58713.07857415,418626902.8257071
2019-01-09 00:00:00+00:00,3482430797.632785,26507118.155248035,96366370.70820303,551158708.6065013,815282666.4003531,269118779.0756901,2024950462.4209144,161964930.27949494,53175943.90364797,62710757.66569317,316642700.28202313,8448762.485678827,80688.59428580312,364565551.0650337
2019-01-10 00:00:00+00:00,3230523440.813054,24582563.48213839,83602328.66275996,528848998.6620967,608108989.8571633,219557549.31154063,1895694764.775352,164963946.517665,64385829.721023776,84845665.60089022,281404959.8838086,9843659.472692603,110827.61817545578,351700207.53208584
2019-01-11 00:00:00+00:00,4144535969.992497,32071287.62713065,127638395.5614729,982892808.348796,757303105.833942,134597350.9675411,2728309575.30694,364157840.921174,48444058.96517679,125760658.31823196,951107554.5043002,6628404.983429407,117782.86336041096,466511654.62183714
2019-01-12 00:00:00+00:00,3263342032.794205,25104789.587543327,82911967.38067934,565606578.0884812,571309443.2987967,93701284.58992703,2081742756.9099517,217637306.540104,38468727.70837153,63187944.16229059,349294041.5663406,17145317.30157955,46776.0223280642,492525160.7351395
2019-01-13 00:00:00+00:00,2456062889.7924027,22705144.87572411,70166135.10443042,411130981.22269297,393141691.6829742,155025516.19808704,1504750867.1261935,197276394.3977082,31010060.119150534,38928056.39160119,225152767.7960159,16957277.381704636,19558.44950677228,578072346.2424676
2019-01-14 00:00:00+00:00,2675674829.818869,26932380.49895819,94506778.3268016,474444573.7488991,499281524.0188485,179047658.07179487,1642681383.2372842,178894500.5589172,19869758.601752363,36923377.86663759,170981557.60003424,11307556.12323578,11323.360098225628,488144479.615587
2019-01-15 00:00:00+00:00,3101461657.547051,26577964.447153658,97557624.90904456,519065000.4591194,562737057.7518421,252385427.7222865,2141032095.0550327,208539885.1351339,32637415.937866986,46991904.8007332,429861863.7150416,20294178.44005211,172075.12252732195,338860248.7135755
2019-01-16 00:00:00+00:00,2953789408.2270346,24168965.9189638,84352857.86761911,408479335.5900175,514183004.657007,206378942.2750376,2179445232.658204,151852278.8957497,27558825.28135823,44720875.31453265,243037256.18075037,29695908.089229587,229295.9154719244,262332849.83455843
2019-01-17 00:00:00+00:00,2753646523.928816,21455403.93367792,80028535.70038773,403570445.8094488,493907069.895123,226042798.63173875,2113608536.664472,137137800.553419,37246934.99339115,55013701.89921163,156321943.28780738,19285693.19243903,21383.09314139205,375260514.3378512
2019-01-18 00:00:00+00:00,3049367561.0957274,17890712.89256306,94477214.12547864,405007131.6315308,570099751.8867725,207892558.41548857,1953391667.2246928,159047249.98610467,36717390.15707982,60179613.104692645,174124147.07749024,11980676.526866283,3809.207534327042,364769648.39806193
2019-01-19 00:00:00+00:00,2649449860.3668847,19704334.96418927,70251297.31252189,332351555.7327561,451607702.4112822,106136444.43984205,1689783955.342064,164554711.14754492,38221945.40101007,36466188.48017476,123869984.405976,9950732.163146108,8422.033688273063,540064713.5402541
