Date,bitcoin_indegree,bitcoin_outdegree,bitcoin_pagerank,bitcoin_eigenvector,dogecoin_indegree,dogecoin_outdegree,dogecoin_pagerank,dogecoin_eigenvector,stellar_indegree,stellar_outdegree,stellar_pagerank,stellar_eigenvector,ripple_indegree,ripple_outdegree,ripple_pagerank,ripple_eigenvector,litecoin_indegree,litecoin_outdegree,litecoin_pagerank,litecoin_eigenvector,tether_indegree,tether_outdegree,tether_pagerank,tether_eigenvector,ethereum_indegree,ethereum_outdegree,ethereum_pagerank,ethereum_eigenvector,bitcoin-cash_indegree,bitcoin-cash_outdegree,bitcoin-cash_pagerank,bitcoin-cash_eigenvector,binancecoin_indegree,binancecoin_outdegree,binancecoin_pagerank,binancecoin_eigenvector,cardano_indegree,cardano_outdegree,cardano_pagerank,cardano_eigenvector,tron_indegree,tron_outdegree,tron_pagerank,tron_eigenvector,chainlink_indegree,chainlink_outdegree,chainlink_pagerank,chainlink_eigenvector,weth_indegree,weth_outdegree,weth_pagerank,weth_eigenvector,usd-coin_indegree,usd-coin_outdegree,usd-coin_pagerank,usd-coin_eigenvector
2024-04-26,13.0,13.0,0.10634730918177598,0.2672612419124244,12.0,13.0,0.0746297444562849,0.2672612419124244,11.0,13.0,0.06378613262153732,0.2672612419124244,11.0,11.0,0.06308222938564208,0.2672612419124244,11.0,13.0,0.06378613262153733,0.2672612419124244,12.0,13.0,0.07462974445628491,0.2672612419124244,11.0,13.0,0.06378613262153733,0.2672612419124244,13.0,2.0,0.07950936979866816,0.2672612419124244,12.0,5.0,0.0679567525579787,0.2672612419124244,11.0,11.0,0.06308222938564208,0.2672612419124244,9.0,13.0,0.05463539055489902,0.2672612419124244,11.0,13.0,0.06378613262153733,0.2672612419124244,13.0,13.0,0.10634730918177598,0.2672612419124244,9.0,13.0,0.054635390554899015,0.2672612419124244
2024-04-27,13.0,13.0,0.14222006031354273,0.2672612419124244,12.0,13.0,0.07687580291855145,0.2672612419124244,11.0,13.0,0.0634027806157313,0.2672612419124244,10.0,13.0,0.058435758602614594,0.2672612419124244,11.0,13.0,0.0634027806157313,0.2672612419124244,11.0,13.0,0.0634027806157313,0.2672612419124244,11.0,13.0,0.0634027806157313,0.2672612419124244,13.0,1.0,0.08190228425662771,0.2672612419124244,12.0,4.0,0.06754832593967597,0.2672612419124244,11.0,10.0,0.06225654476655053,0.2672612419124244,10.0,13.0,0.058435758602614594,0.2672612419124244,11.0,13.0,0.0634027806157313,0.2672612419124244,12.0,13.0,0.07687580291855145,0.2672612419124244,10.0,13.0,0.058435758602614594,0.2672612419124244
2024-04-28,13.0,13.0,0.14389622451218326,0.2672612419124244,12.0,13.0,0.077781780485396,0.2672612419124244,10.0,13.0,0.058614255294184896,0.2672612419124244,9.0,13.0,0.054737062919711206,0.2672612419124244,11.0,13.0,0.0641500067601583,0.2672612419124244,11.0,13.0,0.0641500067601583,0.2672612419124244,11.0,13.0,0.0641500067601583,0.2672612419124244,13.0,1.0,0.08286750694899502,0.2672612419124244,12.0,4.0,0.06834439867561606,0.2672612419124244,11.0,9.0,0.06244669861678187,0.2672612419124244,10.0,12.0,0.05831600972691769,0.2672612419124244,11.0,13.0,0.0641500067601583,0.2672612419124244,12.0,13.0,0.077781780485396,0.2672612419124244,10.0,13.0,0.058614255294184896,0.2672612419124244
2024-04-29,13.0,13.0,0.1398841657002696,0.2672612419124244,12.0,13.0,0.07561315668282248,0.2672612419124244,9.0,13.0,0.05481415192467958,0.2672612419124244,9.0,13.0,0.05481415192467958,0.2672612419124244,12.0,13.0,0.07561315668282248,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,13.0,1.0,0.08055708045339534,0.2672612419124244,12.0,5.0,0.06885225309047907,0.2672612419124244,11.0,9.0,0.06291071945586803,0.2672612419124244,10.0,11.0,0.05839815291164201,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,12.0,13.0,0.07561315668282248,0.2672612419124244,10.0,13.0,0.059049789454726075,0.2672612419124244
2024-04-30,13.0,13.0,0.09703682635530486,0.2672612419124244,13.0,13.0,0.09703682635530486,0.2672612419124244,9.0,13.0,0.05481415192467958,0.2672612419124244,9.0,13.0,0.05481415192467958,0.2672612419124244,13.0,13.0,0.09703682635530486,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,13.0,3.0,0.08055708045339534,0.2672612419124244,12.0,5.0,0.06885225309047907,0.2672612419124244,11.0,9.0,0.06291071945586803,0.2672612419124244,10.0,11.0,0.05839815291164201,0.2672612419124244,12.0,13.0,0.07561315668282248,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,10.0,13.0,0.059049789454726075,0.2672612419124244
2024-05-01,13.0,13.0,0.09168090893718428,0.2672612419124244,13.0,13.0,0.09168090893718428,0.2672612419124244,9.0,13.0,0.05481415192467959,0.2672612419124244,9.0,13.0,0.05481415192467959,0.2672612419124244,13.0,13.0,0.09168090893718428,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,13.0,4.0,0.08055708045339534,0.2672612419124244,12.0,5.0,0.06885225309047907,0.2672612419124244,11.0,9.0,0.06291071945586803,0.2672612419124244,10.0,11.0,0.05839815291164201,0.2672612419124244,13.0,13.0,0.09168090893718428,0.2672612419124244,11.0,13.0,0.06462668834526444,0.2672612419124244,10.0,13.0,0.059049789454726075,0.2672612419124244
2024-05-02,13.0,13.0,0.09164131336098721,0.2672612419124244,13.0,13.0,0.09164131336098721,0.2672612419124244,9.0,13.0,0.05447731937277999,0.2672612419124244,9.0,13.0,0.05447731937277999,0.2672612419124244,13.0,13.0,0.09164131336098721,0.2672612419124244,11.0,13.0,0.0645987464431849,0.2672612419124244,11.0,13.0,0.0645987464431849,0.2672612419124244,13.0,4.0,0.08052227819868361,0.2672612419124244,12.0,5.0,0.06882249196242739,0.2672612419124244,11.0,10.0,0.0634308894735228,0.2672612419124244,11.0,10.0,0.0634308894735228,0.2672612419124244,13.0,13.0,0.09164131336098721,0.2672612419124244,11.0,13.0,0.0645987464431849,0.2672612419124244,9.0,13.0,0.05447731937277999,0.2672612419124244
2024-05-03,13.0,13.0,0.09118103433174675,0.2672612419124244,13.0,13.0,0.09118103433174675,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244,13.0,13.0,0.09118103433174675,0.2672612419124244,11.0,13.0,0.06468393387836396,0.2672612419124244,11.0,13.0,0.06468393387836396,0.2672612419124244,13.0,5.0,0.08302808034609051,0.2672612419124244,13.0,5.0,0.08302808034609051,0.2672612419124244,10.0,10.0,0.057414221519145575,0.2672612419124244,11.0,8.0,0.06229446048626674,0.2672612419124244,13.0,13.0,0.09118103433174675,0.2672612419124244,10.0,13.0,0.05847130305891116,0.2672612419124244,9.0,13.0,0.05389061638659362,0.2672612419124244
2024-05-04,13.0,13.0,0.09118103433174674,0.2672612419124244,13.0,13.0,0.09118103433174674,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244,13.0,13.0,0.09118103433174674,0.2672612419124244,10.0,13.0,0.058471303058911156,0.2672612419124244,11.0,13.0,0.06468393387836396,0.2672612419124244,13.0,5.0,0.08302808034609051,0.2672612419124244,13.0,5.0,0.08302808034609051,0.2672612419124244,10.0,10.0,0.05741422151914557,0.2672612419124244,11.0,8.0,0.06229446048626673,0.2672612419124244,13.0,13.0,0.09118103433174674,0.2672612419124244,11.0,13.0,0.06468393387836396,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244
2024-05-05,13.0,13.0,0.08642904711859203,0.2672612419124244,13.0,13.0,0.08642904711859203,0.2672612419124244,9.0,13.0,0.053764657862276286,0.2672612419124244,9.0,13.0,0.053764657862276286,0.2672612419124244,13.0,13.0,0.08642904711859203,0.2672612419124244,9.0,13.0,0.053764657862276286,0.2672612419124244,13.0,13.0,0.08642904711859203,0.2672612419124244,13.0,6.0,0.08065417034147623,0.2672612419124244,13.0,6.0,0.08065417034147623,0.2672612419124244,11.0,9.0,0.06325414373569599,0.2672612419124244,11.0,9.0,0.06325414373569599,0.2672612419124244,13.0,13.0,0.08642904711859202,0.2672612419124244,11.0,13.0,0.0649795048035905,0.2672612419124244,9.0,13.0,0.053764657862276286,0.2672612419124244
