Asset,Beta,t-stat,p-value,N
bitcoin,0.7516811407946675,26.522188537471397,0.0,657
dogecoin,1.7461706518949716,55.995371381102885,0.0,657
stellar,0.7977928186283613,10.839670078901419,0.0,657
ripple,0.7592887169711425,11.331765926498838,0.0,657
litecoin,0.683986607081241,11.791256068485003,0.0,657
tether,0.005159715057357849,3.9832505749501417,7.560141767615214e-05,657
ethereum,0.5217341993547824,11.433548899789423,0.0,657
bitcoin-cash,0.9384138615365741,13.742389546758435,0.0,657
binancecoin,0.4908579094180649,11.989247869602751,0.0,657
cardano,0.944584184257081,16.58435814385113,0.0,657
tron,0.2941442489435275,5.184548842406537,2.8888565006823796e-07,657
chainlink,0.7753595944115901,11.558710949857172,0.0,657
weth,0.5109728960383509,11.109861280521473,0.0,657
usd-coin,0.0018155026924856481,1.208438519191698,0.22731471665282976,657
