,0
2025-01-01,0.17142857142857149
2025-01-02,0.1785714285714286
2025-01-03,0.20000000000000004
2025-01-04,0.18571428571428575
2025-01-05,0.18571428571428575
2025-01-06,0.17142857142857149
2025-01-07,0.17142857142857149
2025-01-08,0.32857142857142857
2025-01-09,0.6357142857142856
2025-01-10,0.6285714285714287
2025-01-11,0.6285714285714287
2025-01-12,0.6642857142857144
2025-01-13,0.6642857142857144
2025-01-14,0.6642857142857144
2025-01-15,0.6642857142857144
2025-01-16,0.6642857142857144
2025-01-17,0.6928571428571428
2025-01-18,0.3285714285714287
2025-01-19,0.3285714285714286
2025-01-20,0.5714285714285713
2025-01-21,0.5714285714285713
2025-01-22,0.5142857142857142
2025-01-23,0.5142857142857142
2025-01-24,0.5142857142857142
2025-01-25,0.5142857142857142
2025-01-26,0.5642857142857143
2025-01-27,0.5499999999999999
2025-01-28,0.5499999999999999
2025-01-29,0.5571428571428572
2025-01-30,0.25000000000000006
2025-01-31,0.25000000000000006
2025-02-01,0.21428571428571433
2025-02-02,0.23571428571428574
2025-02-03,0.8071428571428572
2025-02-04,0.8071428571428572
2025-02-05,0.8071428571428572
2025-02-06,0.7999999999999999
2025-02-07,0.8214285714285714
2025-02-08,0.8214285714285714
2025-02-09,0.9642857142857143
2025-02-10,0.9642857142857143
2025-02-11,0.9642857142857143
2025-02-12,0.9285714285714286
2025-02-13,0.33571428571428574
2025-02-14,0.33571428571428574
2025-02-15,0.2571428571428572
2025-02-16,0.25000000000000006
2025-02-17,0.25000000000000006
2025-02-18,0.2071428571428572
2025-02-19,0.1928571428571429
2025-02-20,0.1928571428571429
2025-02-21,0.22857142857142862
2025-02-22,0.1928571428571429
2025-02-23,0.1928571428571429
2025-02-24,0.1928571428571429
2025-02-25,0.8642857142857142
2025-02-26,0.807142857142857
2025-02-27,0.807142857142857
2025-02-28,0.8428571428571427
2025-03-01,0.8428571428571427
2025-03-02,0.8428571428571427
