Date,bitcoin_indegree,bitcoin_outdegree,bitcoin_pagerank,bitcoin_eigenvector,dogecoin_indegree,dogecoin_outdegree,dogecoin_pagerank,dogecoin_eigenvector,stellar_indegree,stellar_outdegree,stellar_pagerank,stellar_eigenvector,ripple_indegree,ripple_outdegree,ripple_pagerank,ripple_eigenvector,litecoin_indegree,litecoin_outdegree,litecoin_pagerank,litecoin_eigenvector,tether_indegree,tether_outdegree,tether_pagerank,tether_eigenvector,ethereum_indegree,ethereum_outdegree,ethereum_pagerank,ethereum_eigenvector,bitcoin-cash_indegree,bitcoin-cash_outdegree,bitcoin-cash_pagerank,bitcoin-cash_eigenvector,binancecoin_indegree,binancecoin_outdegree,binancecoin_pagerank,binancecoin_eigenvector,cardano_indegree,cardano_outdegree,cardano_pagerank,cardano_eigenvector,tron_indegree,tron_outdegree,tron_pagerank,tron_eigenvector,chainlink_indegree,chainlink_outdegree,chainlink_pagerank,chainlink_eigenvector,weth_indegree,weth_outdegree,weth_pagerank,weth_eigenvector,usd-coin_indegree,usd-coin_outdegree,usd-coin_pagerank,usd-coin_eigenvector
2024-10-25,4.0,1.0,0.06162196244343916,0.25928139229191544,4.0,0.0,0.2522148640674882,0.15348674055931538,0.0,9.0,0.032663483632547494,0.4017930802792001,2.0,6.0,0.049539650286722706,0.3418949607691197,6.0,1.0,0.12372816365741247,0.3362135343222826,3.0,2.0,0.05655767532389169,0.23908192234223177,1.0,3.0,0.03574832100553465,0.20580547409943367,0.0,4.0,0.032663483632547494,0.1804781835705136,5.0,0.0,0.10929691611689628,0.19643265249373623,2.0,1.0,0.044668654841316074,0.10668842283236114,5.0,1.0,0.06490009149056716,0.29131234530508093,5.0,4.0,0.06490009149056716,0.3725774406414427,1.0,6.0,0.03574832100553465,0.3203066174104995,1.0,1.0,0.03574832100553465,0.09754893575187364
2024-10-26,4.0,0.0,0.07212311340460835,0.2096742711669239,3.0,0.0,0.17966593020768445,0.14535512889504618,0.0,7.0,0.03767462146137585,0.30134331779295015,2.0,8.0,0.06055849616817262,0.37328899960971407,5.0,1.0,0.08422690539824051,0.2793710618662749,4.0,0.0,0.07212311340460835,0.2096742711669239,1.0,4.0,0.04224932696424051,0.24225734866127416,0.0,5.0,0.03767462146137585,0.23225445934085523,6.0,0.0,0.12013814419681852,0.27087530747526917,4.0,1.0,0.075249095698596,0.23991964299157575,5.0,3.0,0.06919634160433127,0.3727487310679589,4.0,3.0,0.06462163610146661,0.2632890871891652,1.0,7.0,0.04224932696424051,0.34961814467654057,1.0,1.0,0.04224932696424051,0.09318472363480709
2024-10-27,4.0,0.0,0.06596417064608409,0.2105824970982995,4.0,0.0,0.2967283658730575,0.18464847194452594,0.0,5.0,0.032735155429914654,0.23391501999331626,1.0,7.0,0.03829998271054366,0.36608643193592416,4.0,1.0,0.06993421743903042,0.2523481937332233,4.0,1.0,0.06993421743903042,0.2523481937332233,1.0,5.0,0.03829998271054366,0.2815488187843315,0.0,3.0,0.032735155429914654,0.14909675582863352,6.0,1.0,0.08535513038273453,0.29883005194550416,6.0,1.0,0.08535513038273453,0.29883005194550416,3.0,4.0,0.049322352731991946,0.34624507186080106,4.0,3.0,0.05873617340333248,0.29244830714445785,1.0,6.0,0.03829998271054366,0.31710053490022394,1.0,2.0,0.03829998271054366,0.13929260035969737
2024-10-28,4.0,0.0,0.08426537526985527,0.25119681212360495,2.0,0.0,0.1845050181257023,0.09751506886851759,1.0,4.0,0.04259683370961669,0.21789113269156113,1.0,7.0,0.046056183985251756,0.3374200770881336,5.0,0.0,0.09209501647338748,0.3100566099181763,2.0,0.0,0.07214807340724588,0.12092212080530258,1.0,5.0,0.046056183985251756,0.31659144143868767,0.0,4.0,0.037004232849950816,0.21843718967358183,4.0,1.0,0.06481472882511466,0.247875685057272,5.0,1.0,0.10871652774789049,0.2766323286357211,4.0,3.0,0.06481472882511466,0.35657301297286337,3.0,3.0,0.05922212796544879,0.2938406377505828,1.0,6.0,0.046056183985251756,0.36329295880601004,2.0,1.0,0.05164878484491762,0.1546728907557382
2024-10-29,4.0,1.0,0.05767305409099019,0.27822665893296084,1.0,0.0,0.20262761763708678,0.0466385502036205,0.0,7.0,0.030296217982004416,0.34219704464293244,1.0,5.0,0.03397507352014376,0.31822947811822283,6.0,1.0,0.07823754060496559,0.3766541895399056,4.0,0.0,0.06283544230032848,0.2292215467766172,1.0,3.0,0.03397507352014376,0.23947359475577318,0.0,1.0,0.030296217982004416,0.05692707466103611,3.0,0.0,0.057059655436089554,0.17338021127890726,5.0,1.0,0.2027438253036514,0.2657838765725274,3.0,5.0,0.07145030505361698,0.32441591802539715,3.0,4.0,0.051474103150880454,0.32144618812320047,1.0,5.0,0.03397507352014376,0.33493395540215176,2.0,1.0,0.05338079989795021,0.1599715676338847
2024-10-30,3.0,1.0,0.05868589045295538,0.2689738564159722,0.0,0.0,0.035955175512750716,3.855572432190523e-15,1.0,4.0,0.04104875189766701,0.286069709997187,0.0,6.0,0.035955175512750716,0.34763851195366047,3.0,1.0,0.06357999779253787,0.2773050779760766,2.0,1.0,0.05601236928774571,0.20763501853298294,2.0,1.0,0.05359231406803909,0.19809898045385338,0.0,0.0,0.035955175512750716,3.855572432190523e-15,2.0,1.0,0.052191637328219784,0.2115567599932456,7.0,0.0,0.3438217743439819,0.3571931876838804,2.0,5.0,0.0524371123619851,0.32840125539388343,2.0,4.0,0.0524371123619851,0.3328436306921108,2.0,4.0,0.05359231406803909,0.3224934168139553,3.0,1.0,0.06473519949859187,0.26595776054213505
2024-10-31,2.0,1.0,0.05156095652032275,0.22421923378364236,0.0,0.0,0.038440286055783174,2.360583764194323e-18,1.0,8.0,0.046608787639700375,0.4778230837358092,0.0,4.0,0.038440286055783174,0.2564350086647372,2.0,1.0,0.053591647239284584,0.2496663179188206,3.0,0.0,0.07340032276177406,0.22143853024340318,2.0,1.0,0.053591647239284584,0.2496663179188206,3.0,1.0,0.06176014882320178,0.30623165434686644,3.0,0.0,0.07340032276177406,0.22143853024340318,5.0,0.0,0.27142065237022367,0.2822260699573583,1.0,7.0,0.0839928604145983,0.3717986126419418,1.0,2.0,0.046608787639700375,0.15425691473765368,2.0,1.0,0.053591647239284584,0.2496663179188206,2.0,1.0,0.053591647239284584,0.18741206237914737
2024-11-01,0.0,1.0,0.039227443193996105,0.07538274107531025,0.0,0.0,0.039227443193996105,5.599034513770875e-13,0.0,6.0,0.039227443193996105,0.36265589337868176,0.0,5.0,0.039227443193996105,0.3144705533627374,4.0,1.0,0.0762915969869906,0.35282667254203626,0.0,0.0,0.039227443193996105,5.599034513770875e-13,2.0,1.0,0.05425152235229979,0.23141924019462617,3.0,1.0,0.06092024667124461,0.29344999401003435,1.0,0.0,0.048694252086512436,0.08450129442506513,8.0,0.0,0.3424811656209572,0.3821605714669754,3.0,6.0,0.06682478809447427,0.4283887771891336,1.0,1.0,0.045896167512940934,0.13741349489071844,2.0,1.0,0.05425152235229979,0.23141924019462617,2.0,3.0,0.05425152235229979,0.30101585168254297
2024-11-02,0.0,5.0,0.03609697123481575,0.34108307319730613,0.0,0.0,0.03609697123481575,4.121782068895941e-12,0.0,3.0,0.03609697123481575,0.16970170172055815,0.0,3.0,0.03609697123481575,0.22705847993284967,0.0,2.0,0.03609697123481575,0.151288080752545,2.0,0.0,0.08408343597381385,0.16042292709174688,0.0,3.0,0.03609697123481575,0.24300719538062268,5.0,0.0,0.14941383259555174,0.3264768913369975,1.0,2.0,0.04632453397749898,0.1916643877182941,7.0,0.0,0.14847415647289644,0.34542132939329323,7.0,3.0,0.1477070214144826,0.4553408088158681,0.0,2.0,0.03609697123481575,0.151288080752545,1.0,2.0,0.04632453397749898,0.19547977422360763,5.0,3.0,0.12499368694454674,0.4056575523801628
2024-11-03,0.0,4.0,0.038525061764543365,0.2904032605666445,0.0,0.0,0.038525061764543365,1.2773965291051094e-13,0.0,6.0,0.038525061764543365,0.32486507156666966,1.0,2.0,0.043982843587366816,0.24114516338380004,0.0,3.0,0.038525061764543365,0.20248451554313815,4.0,0.0,0.10019484991657544,0.219601425099601,1.0,1.0,0.043982843587366816,0.10707298800521099,7.0,0.0,0.15427977028551,0.4305705768319266,1.0,3.0,0.043982843587366816,0.28232501257189346,5.0,0.0,0.16506162819579473,0.20301989369547765,5.0,3.0,0.11171221851335997,0.43345699309786123,0.0,3.0,0.038525061764543365,0.1563310851880555,1.0,1.0,0.043982843587366816,0.10707298800521099,4.0,3.0,0.10019484991657544,0.3481145538308705
