Asset,Beta,t-stat,p-value,N
bitcoin,-0.02024773867622791,-0.5836396279551511,0.5596637090449623,657
dogecoin,-0.02643644157522911,-0.41454904797326625,0.67860778386193,657
stellar,-0.03016397166375701,-0.44394451962015297,0.6572293179304993,657
ripple,-0.030635721825441796,-0.49181571022532095,0.6230144060896352,657
litecoin,0.025547537004232217,0.4705579815248009,0.6381130718996841,657
tether,-0.0003057320442025416,-0.2743200455402458,0.7839251734228023,657
ethereum,-0.06372573169860235,-1.5022964575674238,0.13350249803838699,657
bitcoin-cash,0.1331984354663535,2.027635745457619,0.04300179005167282,657
binancecoin,0.08478592342840213,2.213978033129995,0.027173953140460894,657
cardano,-0.010293508600735066,-0.17839334975758245,0.8584692320961698,657
tron,0.4656670975690338,10.18318542239772,0.0,657
chainlink,-0.023464616232999003,-0.37500286854520487,0.707779724508419,657
weth,-0.06193379189540515,-1.455216345961603,0.14608845386780178,657
usd-coin,-0.0004485840288379084,-0.3508372863228449,0.7258232301532064,657
